strategy,runs,avg_improvement_mean,avg_improvement_std,avg_improvement_min,avg_improvement_max,improved_mean,oz_beaten_mean,avg_best_vs_oz_mean,total_errors,total_oz_errors,wins
bandit,5,840.6066666666667,106.43990845125295,741.5,1011.2666666666667,29.6,7.2,-206.16,1,0,9.583333333333334
cem,5,931.3866666666667,83.26545435466554,821.1333333333333,1054.5,30.0,10.0,-115.38,3,0,29.583333333333332
contextual_cem,5,1064.1466666666668,69.38515931619192,955.3333333333334,1127.4666666666667,30.0,11.4,17.38,4,0,89.08333333333333
random,5,906.74,54.52849611798304,846.4,983.2,30.0,9.2,-140.02666666666667,4,0,21.75
