strategy,runs,avg_improvement_mean,avg_improvement_std,avg_improvement_min,avg_improvement_max,improved_mean,total_errors,wins
bandit,3,3.941639041806526,0.8304269927925729,3.1377689883285376,4.796292185257772,29.333333333333332,0,19.833333333333332
cem,3,4.219131987185357,0.3326364118700736,3.8769523369461054,4.541323757108499,29.666666666666668,0,28
contextual_bandit,3,4.065044792437998,0.11195502957986868,3.9391007683925854,4.153265680745911,29.333333333333332,0,21.499999999999996
random,3,4.064547769599415,0.6808047224107715,3.396931793536952,4.757816119056536,30.0,1,20.666666666666668
