strategy,runs,avg_improvement_mean,avg_improvement_std,avg_improvement_min,avg_improvement_max,improved_mean,oz_beaten_mean,avg_best_vs_oz_mean,total_errors,total_oz_errors,wins
cem,5,747.2066666666667,152.28453886648435,532.6333333333333,931.6,29.4,5.4,-828.36,0,0,57.83333333333334
contextual_cem,5,868.5,127.8484888886494,712.9333333333333,1061.8333333333333,29.6,4.8,-707.0666666666667,0,0,52.833333333333336
random,5,742.2666666666667,169.3658433359244,488.6,914.8333333333334,29.6,4.2,-833.3,0,0,39.333333333333336
