strategy,runs,avg_improvement_mean,avg_improvement_std,avg_improvement_min,avg_improvement_max,improved_mean,total_errors,wins
bandit,5,5.520113324419628,0.6856842947937128,4.609236349871748,6.40844917790651,29.4,0,18.03333333333333
cem,5,6.545793573609984,0.24294212761274359,6.23666968066183,6.780491010950479,30.0,0,26.03333333333333
contextual_bandit,5,6.464186676558597,0.48134182759138366,5.704911198939434,6.9136120254528635,30.0,0,29.866666666666664
contextual_cem,5,7.221734359448396,0.2198257237239902,6.881283264397163,7.490791948333464,30.0,1,45.86666666666667
random,5,6.617541952684582,0.4594742071973044,5.885528566487283,7.0035742055135435,30.0,0,30.2
